Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жарко,Миколай,Сергійович,Чоловік,11.10.1983,Сценарист,село Чоп,"парк Березовий, буд. 340, Первомайськ, 76498",+380 79 578-03-83,chervonenkoliza@example.org
Теличенко,Оксана,Петрівна,Жінка,17.10.1956,Штукатур,село Богуслав,"шосе Жевахова, буд. 10, Сорокине, 49830",056 058 45 56,jpustovit@example.net
Дубина,Юстина,Володимирівна,Жінка,13.10.1974,Конструктор,місто Галич,"набережна Армійська, буд. 5, Подільськ, 31648",002 160-07-33,serhiibatiuk@example.com
Супруненко,Єлисавета,Андріївна,Жінка,18.10.1955,Дантист,місто Радомишль,"шосе Флотський 1-й, буд. 046 кв. 09, Куп'янськ, 62065",+380 28 380 19 07,liubov07@example.com
Бгиденко,Демид,Іванович,Чоловік,18.10.1954,Фармацевт,селище Алчевськ,"сквер Гагарінське плато, буд. 683 кв. 5, Прилуки, 02662",547 70 50,taranmariia@example.com
Демʼяненко,Антон,Єгорович,Чоловік,14.10.1968,Акушер,місто Мукачево,"проспект Шостої 2-й, буд. 17 кв. 378, Ромни, 30018",+380 (94) 468-94-41,ntsymbaliuk@example.net
Філіпенко,Клавдія,Сергіївна,Жінка,08.10.1995,Вчитель,село Маріуполь,"шосе Бессарабська, буд. 879 кв. 79, Жовті Води, 35909",+380 11 463-85-03,demianiukiustym@example.org
Вергун,Єлисавета,Володимирівна,Жінка,07.10.1999,Електрослюсар,хутір Бахчисарай,"проспект Студена, буд. 61 кв. 053, Нове Давидково, 14058",+380 68 509-55-49,seibozhenko@example.com
Рябовіл,Гордій,Володимирович,Чоловік,15.10.1964,Кінолог,село Костопіль,"узвіз Розкидайлівська, буд. 513, Лебедин, 53868",369-54-05,zabarnyihanna@example.org
Шаблій,Яків,Єгорович,Чоловік,16.10.1962,Ді-джей,місто Енергодар,"провулок Горіхова, буд. 8 кв. 2, Берестечко, 82541",+380 21 434-36-83,jsimashkevych@example.com
Стус,Василина,Петрівна,Жінка,13.10.1975,Бібліотекар,селище Богуслав,"провулок Штурвальна, буд. 772 кв. 5, Кадіївка, 90966",021 464-05-10,vitalii38@example.net
Адамчук,Оксана,Петрівна,Жінка,10.10.1987,Педагог,селище Хорол ,"узвіз Перемоги, буд. 775, Карлівка, 68298",+380 02 572-68-21,hordii99@example.net
Базилевський,Тимофій,Андрійович,Чоловік,12.10.1978,Фрілансер,хутір Донецьк,"вулиця Басейний 3-й, буд. 9, Могилів-Подільський, 75225",+380 11 174 79 95,oiefymenko@example.net
Левченко,Давид,Андрійович,Чоловік,11.10.1983,Хімік,хутір Пирятин,"провулок Героїв Небесної Сотні, буд. 782, Сєвєродонецьк, 41787",+380 52 382 02 20,symon09@example.net
Вернигора,Аніта,Олександрівна,Жінка,10.10.1984,Агроном,місто Старобільськ,"набережна Тополина, буд. 72, Новоукраїнка, 30221",+380 (20) 854-76-70,teodorbatiuk@example.net
Петрик,Хома,Олександрович,Чоловік,10.10.1986,Водій,місто Шахтарськ,"шосе Данькевича, буд. 46 кв. 82, Нова Одеса, 24253",+380 38 411 14 80,shcherbakmariana@example.org
Бездітко,Вікторія,Іванівна,Жінка,18.10.1954,Філолог,селище Ананьїв,"вулиця Восьмого березня 7-й, буд. 80 кв. 01, Хотин, 66673",019 288 29 49,lmamchur@example.com
Джунь,Амалія,Єгорівна,Жінка,06.10.2000,Складальник,місто Андрушівка,"парк Радісний, буд. 886, Переяслав, 60826",095 289 53 50,zlatoslava46@example.net
Михайлюк,Михайло,Михайлович,Чоловік,07.10.1999,Швачка,село Славута,"парк Травневий 4-й, буд. 932 кв. 87, Житомир, 81465",952 98 47,vladyslav83@example.net
Архимович,Яків,Єгорович,Чоловік,17.10.1957,Реставратор,село Рубіжне,"вулиця Мигдальна, буд. 9 кв. 44, Моспине, 16969",089 296-37-86,tovstolisalina@example.org
Дрозд,Трохим,Петрович,Чоловік,08.10.1994,Дипломат,місто Сторожинець,"площа Лазурний 2-й, буд. 6 кв. 2, Ворожба, 34640",019 281-85-33,chornovilanastasiia@example.net
Андрусенко,Клавдія,Сергіївна,Жінка,12.10.1979,Підприємець,місто Стебник,"площа Самарська, буд. 633, Таврійськ, 09907",+380 59 229-66-30,vfastenko@example.net
Щербак,Вікторія,Михайлівна,Жінка,10.10.1984,Агроном,селище Немирів,"набережна Юрія Яновського, буд. 512 кв. 1, Новоазовськ, 42133",+380 51 317-82-60,panteleimonhaidenko@example.com
Щербак,Данна,Іванівна,Жінка,15.10.1965,Соціолог,місто Федорівка,"провулок Старопортофранківська, буд. 5 кв. 8, Іршава, 56926",+380 76 396-38-23,illia10@example.net
Харченко,Соломія,Дмитрівна,Жінка,07.10.1999,Адвокат,хутір Самбір,"вулиця Брестська, буд. 020, Балта, 60825",055 145-29-04,varsenych@example.net
Бабійчук,Віктор,Єгорович,Чоловік,15.10.1964,Астроном,хутір Ржищів,"сквер Бодаревського, буд. 68, Одеса, 24671",+380 69 068-77-11,chmilbohodar@example.net
Верховинець,Богуслав,Володимирович,Чоловік,10.10.1986,Кінолог,місто Вишневе ,"вулиця Лінія 36-та, буд. 64, Сорокине, 02895",977 22 47,badamchuk@example.com
Лаба,Олена,Михайлівна,Жінка,13.10.1974,Епідеміолог,хутір Міусинськ,"узвіз Тінистий, буд. 7 кв. 995, Угнів, 87871",054 117 98 20,jkorolenko@example.com
Худяк,Аарон,Миколайович,Чоловік,06.10.2001,Агроном,село Ясинувата,"узвіз Усатівська, буд. 3 кв. 9, Богодухів, 68355",+380 69 562 96 34,babiizynovii@example.net
Левченко,Степан,Іванович,Чоловік,12.10.1978,Державний службовець,хутір Монастирище,"набережна Дунаєвського 2-й, буд. 6 кв. 2, Комарно, 02979",+380 47 728-54-31,davydiemelianenko@example.net
Атаманчук,Ірина,Михайлівна,Жінка,07.10.1997,Реабілітолог,село Новоукраїнка,"шосе Залізнична, буд. 471, Приморськ (Україна), 05052",+380 29 221-88-33,onysym14@example.net
Дацюк,Михайло,Єгорович,Чоловік,14.10.1971,Фермер,село Герца,"сквер 411-ї батареї, буд. 252, Ворожба, 02016",025 533-04-30,bashpolchenkodavyd@example.org
Проценко,Остап,Єгорович,Чоловік,06.10.2001,Гірник,селище Бережани,"сквер Харківська, буд. 77, Нововолинськ, 51461",030 165 70 01,veniiamynrak@example.com
Ляшко,Єлисавета,Дмитрівна,Жінка,17.10.1957,Геофізик,хутір Черкаси,"площа Крайня, буд. 7, Хотин, 96540",041-90-32,amvrosii46@example.net
Колесниченко,Михайло,Дмитрович,Чоловік,15.10.1967,Ді-джей,селище Шахтарськ,"узвіз Савицький, буд. 979, Ківерці, 83915",725 42 20,frantstverdokhlib@example.org
Бабак,Станіслав,Єгорович,Чоловік,17.10.1956,Геолог,хутір Бахчисарай,"проспект Чумацька, буд. 64, Новий Розділ, 98670",+380 61 027 25 67,viktoriia74@example.net
Макаренко,Богодар,Андрійович,Чоловік,16.10.1961,Мікробіолог,село Красилів,"провулок Сергія Ейзенштейна, буд. 92 кв. 316, Турка, 80633",+380 75 416-54-54,rozaliiadeisun@example.net
Шиян,Алла,Єгорівна,Жінка,17.10.1959,Кушнір,хутір Армянськ,"шосе Яблунева, буд. 15 кв. 2, Горлівка, 89650",+380 (31) 383-29-59,atamaniukdavyd@example.com
Шовкопляс,Марʼяна,Михайлівна,Жінка,08.10.1995,Математик,місто Лохвиця,"сквер Вернидуба, буд. 77 кв. 90, Черкаси, 52349",096 014 59 34,fandriienko@example.net
Верес,Наталія,Петрівна,Жінка,15.10.1965,Стропальник,село Чугуїв,"площа Дерибасівська, буд. 614, Бібрка, 10752",885-55-97,albinanesterenko@example.net
Скиба,Федір,Іванович,Чоловік,14.10.1969,Парфюмер,селище Сколе,"провулок Лавкова, буд. 62 кв. 89, Середина-Буда, 26521",029 770 71 11,jviter@example.org
Фастенко,Демʼян,Володимирович,Чоловік,14.10.1970,Пілот,місто Зміїв,"узвіз Лінія 25-та, буд. 101 кв. 4, Дунаївці, 74325",+380 54 628-85-45,bohodar59@example.net
Перебийніс,Аніта,Андріївна,Жінка,09.10.1989,Астронавт,селище Біляївка,"шосе 8-ма Суворовська, буд. 7 кв. 96, Вишневе , 21767",+380 22 427 13 48,marusiaderkach@example.com
Гавриш,Ольга,Сергіївна,Жінка,09.10.1989,Мінералог,селище Чернівці,"набережна Тепла, буд. 88, Судова Вишня, 15679",+380 04 162 91 06,korzhanita@example.net
Дзюба,Веніямин,Дмитрович,Чоловік,17.10.1959,Візажист,село Монастириська,"вулиця Шишкіна, буд. 9, Бурштин , 25939",+380 29 861-64-72,svitlana83@example.org
Пелех,Олекса,Михайлович,Чоловік,11.10.1983,Соціолог,хутір Стебник,"площа Хлібна гавань, буд. 497, Остер , 30394",068 029 71 66,valentyn11@example.org
Захаренко,Трохим,Олександрович,Чоловік,10.10.1987,Музикознавець,місто Вовчанськ,"проспект Чорноморський 13-й, буд. 69, Борщів, 59601",+380 59 107-44-71,hkhrystenko@example.com
Кащенко,Мартин,Єгорович,Чоловік,17.10.1957,Фермер,хутір Рава-Руська,"проспект Проектний 5-й, буд. 4, Лиман , 94944",+380 58 921-02-24,uruban@example.org
Негода,Богодар,Олександрович,Чоловік,11.10.1983,Пекар,село Чортків,"набережна Матроський узвіз, буд. 22 кв. 037, Українка , 91737",+380 (09) 409-76-02,hannabaturynets@example.org
Дрозд,Аліна,Іванівна,Жінка,15.10.1965,Астрофізик,село Вижниця,"узвіз Восьмого березня узвіз, буд. 51, Ясинувата, 56766",+380 (93) 755-17-31,arkadii51@example.net
Жадан,Азар,Петрович,Чоловік,17.10.1959,Фізик,село Сміла,"проспект 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 054 кв. 07, Львів, 40510",677 22 92,bustenko@example.org
Зінченко,Марʼяна,Іванівна,Жінка,14.10.1970,Ветеринар,село Зеленодольськ,"сквер Чубаївська, буд. 58 кв. 752, Христинівка, 73001",930 00 62,chuikodanna@example.org
Яремчук,Лесь,Єгорович,Чоловік,08.10.1994,Головний меркшейдер,місто Марганець ,"провулок Амбулаторний, буд. 55, Скадовськ, 29717",229 43 15,vernyhoraborys@example.net
Таран,Віолетта,Володимирівна,Жінка,06.10.2003,Геофізик,село Берегове,"узвіз Проїзний 3-й, буд. 514, Козятин, 92335",+380 37 469 80 62,zievdokymenko@example.com
Ковпак,Богуслава,Миколаївна,Жінка,11.10.1980,Стропальник,селище Кам'янець-Подільський,"шосе Молодіжна, буд. 5, Вознесенівка, 14089",042 702-74-48,ostapchukirena@example.net
Свириденко,Максим,Сергійович,Чоловік,15.10.1966,Круп'є,хутір Новогродівка,"проспект Професора Каришковського, буд. 4, Стрий, 10770",045 463 04 86,stanislavzharko@example.com
Захарченко,Тимофій,Миколайович,Чоловік,18.10.1955,Дизайнер,село Ялта,"шосе Вільгельма Габсбурга, буд. 3 кв. 055, Корець, 25042",912 08 02,prokhirbaranyk@example.com
Хорішко,Валентин,Петрович,Чоловік,14.10.1971,Детектив,місто Новодністровськ,"провулок Лінія 30-та, буд. 67, Українськ, 11107",+380 (77) 591-70-46,azar62@example.org
Масляк,Миколай,Миколайович,Чоловік,17.10.1959,Єгер,селище Малин,"шосе Десантний, буд. 23 кв. 17, Липовець, 21457",+380 82 594-98-67,pavlo02@example.net
Єрченко,Леонтій,Андрійович,Чоловік,16.10.1961,Реставратор,селище Буськ,"шосе Південно-Санаторний, буд. 41 кв. 58, Очаків, 14991",813 67 18,qeibozhenko@example.net
Чабан,Єлисавета,Миколаївна,Жінка,18.10.1953,Шериф,місто Козятин,"площа Лиманчик 2-й Лінія 11-та, буд. 70, Бережани, 87863",300 27 52,kamilla79@example.com
Шеремета,Ада,Іванівна,Жінка,15.10.1966,Перекладач,хутір Ясинувата,"набережна Садова 1-ша, буд. 4, Гайсин, 40067",+380 54 178-87-00,amaliiaavdieienko@example.org
Тарасенко,Тереза,Володимирівна,Жінка,14.10.1970,Єгер,місто Бориспіль,"набережна Зоряна, буд. 14 кв. 13, Волноваха, 81153",+380 33 226 00 52,viktoriia23@example.org
Демʼянюк,Варвара,Сергіївна,Жінка,07.10.1997,Мистецтвознавець,місто Бережани,"узвіз Монгольська, буд. 09, Баранівка, 11198",+380 (34) 767-40-63,pprokopovych@example.org
Забашта,Вікторія,Дмитрівна,Жінка,18.10.1954,Астронавт,село Волноваха,"парк Утьосова, буд. 97, Полтава, 12453",+380 61 473 98 99,makartovstolis@example.org
Гриценко,Веніямин,Олександрович,Чоловік,10.10.1986,Клоун,хутір Шепетівка,"провулок Маланова, буд. 90, Путивль, 02830",045 089-89-89,rebrykmyroslav@example.org
Наливайко,Дарина,Іванівна,Жінка,11.10.1982,Дантист,місто Мирноград,"проспект Чорноморський 6-й, буд. 108 кв. 49, Охтирка, 75898",086 402-98-44,babenkobohodar@example.org
Верховинець,Валентина,Дмитрівна,Жінка,11.10.1982,Співак,село Новогродівка,"провулок Черепанових 2-й, буд. 560, Новоукраїнка, 86544",+380 77 602-38-23,mykhaliukdavyd@example.net
Тимченко,Едита,Сергіївна,Жінка,16.10.1962,Геофізик,селище Погребище,"проспект Рибальська балка, буд. 68, Бобринець, 68610",446 67 11,shovkopliasleon@example.net
Онищенко,Одарка,Андріївна,Жінка,08.10.1995,Журналіст,місто Новодністровськ,"площа Обсерваторний, буд. 694, Кременець, 72996",084 533-80-20,kdemianenko@example.org
Бандура,Олена,Єгорівна,Жінка,14.10.1970,Підприємець,місто Дніпрорудне,"шосе Катаєва, буд. 62, Мала Виска, 54373",345 98 31,audovenko@example.net
Атаманчук,Ігнат,Петрович,Чоловік,14.10.1969,Архітектор,селище Середина-Буда,"шосе Рішельєвська, буд. 03 кв. 935, Білгород-Дністровський, 42741",688-82-32,drobakhamyron@example.net
Журба,Трохим,Олександрович,Чоловік,16.10.1961,Бухгалтер,місто Лиман ,"узвіз Рівності 1-й, буд. 2, Бердянськ, 19273",051 774-27-21,hivashchenko@example.com
Лаба,Азар,Іванович,Чоловік,07.10.1999,Намотувальник,місто Зоринськ,"набережна Гагаріна, буд. 31, Ірпінь, 91972",718-98-05,ostap90@example.com
Голобородько,Варвара,Сергіївна,Жінка,12.10.1978,Драматург,хутір Снятин,"узвіз Навігаційний, буд. 448 кв. 87, Гнівань, 38497",+380 12 445-30-06,iakiv89@example.net
Гузь,Орина,Іванівна,Жінка,13.10.1975,Фотограф,хутір Ніжин,"сквер Дружний, буд. 313 кв. 292, Скадовськ, 84236",+380 46 990 99 34,svystunherman@example.net
Масляк,Гаврило,Дмитрович,Чоловік,08.10.1994,Ботанік,хутір Знам'янка,"шосе Іванова Ігоря, буд. 6 кв. 34, Балта, 40004",204-70-77,aaronromanchuk@example.com
Товстоліс,Борис,Дмитрович,Чоловік,16.10.1963,Детектив,хутір Білицьке,"набережна Котляревського, буд. 854 кв. 617, Гірське, 45523",+380 78 000-36-00,lukian48@example.org
Теличенко,Макар,Михайлович,Чоловік,06.10.2003,Круп'є,село Алмазна,"провулок Садова 1-ша, буд. 8, Дергачі, 89924",093 647-66-86,orysia51@example.org
Нестеренко,Петро,Петрович,Чоловік,18.10.1953,Головний меркшейдер,село Сніжне,"парк Елеваторна, буд. 094, Яремче, 74865",+380 (31) 681-86-79,zhukieva@example.org
Лазаренко,Геннадій,Андрійович,Чоловік,11.10.1982,Архітектор,село Святогірськ,"площа Дача Ковалевського, буд. 970, Бахчисарай, 47382",+380 (14) 619-77-28,fedirhodunok@example.net
Палій,Андрій,Миколайович,Чоловік,07.10.1999,Ботанік,хутір Тиврів,"провулок Магнітогорський, буд. 25, Лозова , 70555",+380 63 072 77 39,mkolesnychenko@example.com
Іщак,Людмила,Сергіївна,Жінка,14.10.1968,Композитор,хутір Шепетівка,"вулиця Солонцюватий, буд. 00, Харків, 64345",061 555-22-93,edytaruban@example.net
Тихий,Богуслава,Єгорівна,Жінка,12.10.1977,Фрілансер,село Тростянець,"парк Рачкова, буд. 8, Чоп, 19955",294-94-50,demianbabenko@example.com
Матяш,Леонтій,Олександрович,Чоловік,17.10.1957,Редактор,село Глухів,"сквер Архітектурна, буд. 940, Пирятин, 55882",571-42-61,artymihnat@example.com
Давиденко,Нестор,Володимирович,Чоловік,16.10.1963,Зоолог,селище Бар,"узвіз Мацієвської, буд. 8, Молочанськ, 83731",+380 48 099-93-43,davyd55@example.com
Килимник,Олесь,Дмитрович,Чоловік,11.10.1981,Електрик,селище Новодружеськ,"проспект Слобідський узвіз, буд. 03, Жидачів, 97623",+380 46 036-79-86,utkach@example.com
Вергун,Нестор,Андрійович,Чоловік,13.10.1973,Кур'єр,хутір Бобринець,"проспект Акордна, буд. 388, Вугледар, 90274",+380 (29) 316-61-23,klymenttsiupa@example.org
Шинкаренко,Устим,Андрійович,Чоловік,14.10.1971,Бізнесмен,село Південне ,"узвіз Іспанська, буд. 29, Кадіївка, 79270",+380 11 562-34-72,aiukhymenko@example.org
Ільєнко,Сніжана,Михайлівна,Жінка,09.10.1989,Пекар,місто Южне,"шосе Іванівський переїзд, буд. 9, Глобине, 51184",816 09 84,myroslavhavryshkevych@example.org
Короленко,Ярема,Андрійович,Чоловік,11.10.1983,Бібліотекар,хутір Теребовля,"шосе Зоринська, буд. 780 кв. 530, Люботин, 84415",+380 96 389-53-54,xkorsun@example.org
Бандера,Златослава,Володимирівна,Жінка,10.10.1984,Астрофізик,хутір Чернігів,"проспект Будівельний, буд. 5, Кам'янське, 64638",+380 78 229 33 56,tiarosh@example.org
Якимчук,Борислав,Михайлович,Чоловік,10.10.1985,Мистецтвознавець,місто Берислав,"набережна Селищна, буд. 40, Зоринськ, 41809",743 51 28,nosenkoievhen@example.org
Онуфрієнко,Михайлина,Михайлівна,Жінка,10.10.1987,Бібліотекар,місто Бориспіль,"провулок Бахчева, буд. 9 кв. 369, Решетилівка, 85567",069 685-31-51,dpetrenko@example.com
Заїка,Аніта,Володимирівна,Жінка,15.10.1964,Шериф,селище Решетилівка,"парк Моторний 3-й, буд. 325 кв. 9, Алмазна, 62478",001 655-37-70,nchubai@example.org
Зінкевич,Феофан,Петрович,Чоловік,09.10.1988,Візажист,місто Дубно,"площа Прирейкова, буд. 79, Чоп, 23903",+380 29 598-03-33,leon43@example.org
Шило,Панас,Миколайович,Чоловік,13.10.1974,Провізор,село Теплодар,"шосе Одеська, буд. 1, Старокостянтинів, 87463",221 10 16,datsenkovladyslav@example.net
Адаменко,Володимира,Миколаївна,Жінка,07.10.1998,Провізор,село Кодима,"набережна Скворцова, буд. 534 кв. 3, Чуднів, 15651",010 307-55-80,danylo71@example.com
Ґереґа,Болеслав,Михайлович,Чоловік,08.10.1994,Клавішник,місто Андрушівка,"узвіз Полтавська, буд. 14, Обухів, 49450",020 644 75 53,terezabashtan@example.net
Вовк,Тетяна,Олександрівна,Жінка,16.10.1960,Графік,селище Яготин,"шосе Павла Шклярука, буд. 6, Нова Одеса, 88979",049 659 95 43,iosyp69@example.com
Якименко,Анастасія,Іванівна,Жінка,18.10.1954,Флорист,місто Миронівка,"парк Українська, буд. 43, Пирятин, 39136",+380 43 146 74 71,ivanenkoroksolana@example.com
Вдовиченко,Анжела,Іванівна,Жінка,10.10.1986,Бібліотекар,село Кодима,"набережна Деволанівський узвіз, буд. 69 кв. 476, Могилів-Подільський, 72154",541-23-36,havrylenkomakar@example.org
Комар,Симон,Володимирович,Чоловік,14.10.1969,Візажист,село Брянка,"проспект Нерубайська, буд. 80, Новий Розділ, 16594",076 701-66-93,symon21@example.net
Єсипенко,Остап,Володимирович,Чоловік,15.10.1966,Мовознавець,селище Бар,"вулиця Санітарна, буд. 400 кв. 850, Чортків, 37987",029 78 28,rozaliiamiroshnychenko@example.com
Байда,Єлисей,Миколайович,Чоловік,12.10.1977,Ветеринар,село Славутич,"проспект Крутоярська, буд. 0 кв. 508, Новоград-Волинський, 56400",+380 92 584-25-75,larysa11@example.net
Карпенко,Наталія,Єгорівна,Жінка,14.10.1970,Візажист,селище Дубровиця,"провулок Хімічний 3-й, буд. 517 кв. 68, Борщів, 74759",+380 (60) 256-47-98,dankivoryna@example.org
Жайворон,Леонтій,Іванович,Чоловік,13.10.1973,Бібліотекар,хутір Красилів,"узвіз Лучиста, буд. 2 кв. 360, Прип'ять , 97319",430-33-48,rubanbohdanna@example.org
Палій,Борис,Володимирович,Чоловік,16.10.1960,Паралегал,село Чуднів,"узвіз Лідерсівський, буд. 47, Добропілля, 19746",031 695 08 60,huzenkoviktor@example.org
Дробʼязко,Ада,Володимирівна,Жінка,14.10.1971,Флорист,місто Привілля,"узвіз Сирітський, буд. 10 кв. 580, Старий Крим, 08976",564 04 46,onishchukdanylo@example.org
Михайлюк,Святослава,Іванівна,Жінка,15.10.1965,Маркетолог,хутір Ровеньки,"провулок Хаджибейська дорога, буд. 93, Хорол , 69413",+380 77 972-77-50,zabashtavolodymyr@example.net
Заруба,Костянтин,Михайлович,Чоловік,13.10.1972,Астронавт,селище Новомосковськ,"вулиця 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 85, Кам'янець-Подільський, 45205",008 086-64-17,iromanets@example.org
Дубас,Софія,Іванівна,Жінка,08.10.1994,Стоматолог,село Бахмут,"площа Академіка Панкратової, буд. 91, Городенка, 50851",+380 (31) 202-55-36,deisunillia@example.net
Яремко,Онисим,Сергійович,Чоловік,14.10.1969,Епідеміолог,селище Ананьїв,"вулиця Отамана Головатого, буд. 17, Токмак, 09809",574 12 20,deinekaoles@example.com
Рудик,Еріка,Миколаївна,Жінка,10.10.1986,Соціолог,село Хорол ,"набережна Артезіанська, буд. 92 кв. 6, Славута, 99513",237-28-11,zhuzenko@example.org
Артеменко,Роксолана,Петрівна,Жінка,07.10.1999,Нотаріус,хутір Червоносів,"набережна Вузький, буд. 415, Трускавець, 82561",+380 54 636-35-74,petrenkoonysym@example.org
Пустовіт,Леонід,Олександрович,Чоловік,18.10.1955,Футболіст,село Барвінкове,"шосе Молоді, буд. 67 кв. 63, Канів, 53840",+380 (02) 622-30-92,ybabenko@example.com
Валенко,Віолетта,Андріївна,Жінка,10.10.1984,Ріелтор,хутір Волочиськ,"вулиця Змієнка Всеволода, буд. 323 кв. 9, Корець, 87541",+380 84 357-81-25,stetsfeofan@example.org
Гаврилюк,Георгій,Володимирович,Чоловік,08.10.1994,Мінералог,хутір Зіньків,"парк Старопортофранківська, буд. 52 кв. 37, Ананьїв, 29837",466 29 68,havrylenkospas@example.net
Даниленко,Ірена,Єгорівна,Жінка,11.10.1981,Бухгалтер,хутір Нове Давидково,"вулиця Луганська, буд. 233, Ходорів, 36155",+380 89 737-74-57,ahuz@example.com
Гавришкевич,Степан,Дмитрович,Чоловік,07.10.1996,Диригент,селище Барвінкове,"провулок Весняна, буд. 01 кв. 53, Гірське, 87035",+380 06 373-28-19,myroslavtiahnybok@example.net
Журба,Емілія,Олександрівна,Жінка,13.10.1974,Кінорежисер,селище Бориспіль,"вулиця Кристаловського, буд. 13, Хуст, 08623",+380 86 670-88-33,martavasylashko@example.org
Атаманюк,Тимофій,Михайлович,Чоловік,16.10.1960,Графік,місто Корсунь-Шевченківський,"провулок Прохоровський, буд. 690 кв. 526, Судак , 38601",012 411 03 36,iefremtsymbaliuk@example.net
Черінько,Валентина,Володимирівна,Жінка,12.10.1978,Стропальник,місто Сновськ,"площа Дубова, буд. 0, Донецьк, 96400",+380 17 079-06-02,batiukodarka@example.com
Ніколюк,Розалія,Єгорівна,Жінка,08.10.1993,Літературознавець,місто Кобеляки,"провулок 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 925 кв. 7, Радомишль, 40334",+380 86 762-38-68,iosyp41@example.net
